Method,RMSE (Observed),NLL (Observed),ELBO (Observed),RMSE (Missing),NLL (Missing),ELBO (Missing),Latent KS,Coverage (Overall),Coverage (Observed),Coverage (Missing),Uncertainty-Error Corr (Observed),Uncertainty-Error Corr (Missing),Training Time,Latent Log Prob
GP_VAE0_0.1_0_alpha_1.0_beta_0.01_lr_0.0005_noise_std_0.1_noise_sigma_0.01,0.0132,-2790.4344,-230847.9718,0.5809,8255.4011,-241893.8073,N,0.9745,0.9722,0.9943,0.2636,-0.1352,128.4492,-10.347522601905872
GP_VAE1_0.1_0_alpha_1.0_beta_0.001_lr_0.0005_noise_std_0.1_noise_sigma_0.001,0.0122,-2797.6565,-320464.5935,0.7093,5958.2635,-329220.5135,N,0.925,0.9211,0.9587,0.2722,0.2215,128.4492,-9.461695537391712
Mean_Imputation_0.1_0,0.0,-2810.0894,N,1.0621,7604.1973,N,N,N,N,N,N,N,N,
KNN_Imputation_0.1_0,0.0,-2810.0894,N,1.0626,7610.8134,N,N,N,N,N,N,N,N,
MICE_Imputation_0.1_0,0.0,-2810.0894,N,1.0626,7610.8134,N,N,N,N,N,N,N,N,
Posterior_Consistency_0.1_0,0.0447,-1933.6721,-21228.742,0.4953,2338.2972,-25500.7113,N,0.9873,0.9998,0.8805,0.0528,0.3368,133.1683,-11.368711337867786
GP_VAE0_0.1_1_alpha_1.0_beta_0.01_lr_0.0005_noise_std_0.1_noise_sigma_0.01,0.028,-2756.4235,-217448.6702,0.5397,10269.6406,-230474.7343,N,0.7263,0.6946,1.0,0.019,0.1069,194.2438,-11.238324985328724
GP_VAE1_0.1_1_alpha_1.0_beta_0.001_lr_0.0005_noise_std_0.1_noise_sigma_0.001,0.0193,-2784.8419,-319874.3143,0.6278,5083.8227,-327742.9789,N,0.6307,0.5905,0.9779,0.1456,0.1084,194.2438,-10.368813381019642
Mean_Imputation_0.1_1,0.0,-2811.2512,N,1.0163,6909.9348,N,N,N,N,N,N,N,N,
KNN_Imputation_0.1_1,0.0,-2811.2512,N,1.0156,6900.1618,N,N,N,N,N,N,N,N,
MICE_Imputation_0.1_1,0.0,-2811.2512,N,1.0156,6900.1618,N,N,N,N,N,N,N,N,
Posterior_Consistency_0.1_1,0.0428,-1942.8474,-21244.3362,0.4718,2171.9906,-25359.1742,N,0.9886,0.9998,0.8915,0.0927,0.275,131.2703,-11.369722232643177
GP_VAE0_0.1_2_alpha_1.0_beta_0.01_lr_0.0005_noise_std_0.1_noise_sigma_0.01,0.0139,-2806.1219,-230955.8,0.5809,8082.883,-241844.8049,N,0.9636,0.9597,0.9992,0.1954,0.0285,118.4871,-11.232563838783314
GP_VAE1_0.1_2_alpha_1.0_beta_0.001_lr_0.0005_noise_std_0.1_noise_sigma_0.001,0.017,-2806.762,-282270.5192,0.6077,4372.3666,-289449.6479,N,0.7479,0.7232,0.9744,0.0752,0.1278,118.4871,-11.267373905006458
Mean_Imputation_0.1_2,0.0,-2828.4454,N,1.0145,6519.9896,N,N,N,N,N,N,N,N,
KNN_Imputation_0.1_2,0.0,-2828.4454,N,1.0152,6530.0564,N,N,N,N,N,N,N,N,
MICE_Imputation_0.1_2,0.0,-2828.4454,N,1.0152,6530.0564,N,N,N,N,N,N,N,N,
Posterior_Consistency_0.1_2,0.0424,-1955.7859,-21401.554,0.4717,2163.0652,-25520.4051,N,0.9878,0.9996,0.8794,0.077,0.3122,114.7702,-11.33748708707433
